num_sub = 0
num_col = 0
num_theta = 0
num_phi = 0
data_dir = 
data_dir = /home/lendle/dev/projects/1101/jzy3d_test/n2ftools/results_16379336673420/
status_dir = [](0x0)
cmd = grep -n "0 0" /home/lendle/dev/projects/1101/jzy3d_test/n2ftools/results_16379336673420/0.ap | cut -f1 -d:
data dir=, num_sub = 49969, num_col= 49979
data dir=, num_sub = 49999, num_col= 50059
data dir=, num_sub = 50079, num_col= 50220
data dir=, num_sub = 50240, num_col= 50270
data dir=, num_sub = 50310, num_col= 50320
data dir=, num_sub = 50340, num_col= 50350
data dir=, num_sub = 50430, num_col= 50440
data dir=, num_sub = 50581, num_col= 50591
data dir=, num_sub = 50631, num_col= 50641
data dir=, num_sub = 50681, num_col= 50691
data dir=, num_sub = 50711, num_col= 50781
data dir=, num_sub = 50801, num_col= 50942
data dir=, num_sub = 50962, num_col= 50992
data dir=, num_sub = 51042, num_col= 51052
data dir=, num_sub = 51072, num_col= 51142
data dir=, num_sub = 51162, num_col= 51303
data dir=, num_sub = 51323, num_col= 51353
data dir=, num_sub = 51403, num_col= 51413
data dir=, num_sub = 51433, num_col= 51503
data dir=, num_sub = 51523, num_col= 51654
data dir=, num_sub = 51674, num_col= 51684
data dir=, num_sub = 51724, num_col= 51764
data dir=, num_sub = 51784, num_col= 51794
data dir=, num_sub = 51874, num_col= 51884
data dir=, num_sub = 52025, num_col= 52035
data dir=, num_sub = 52075, num_col= 52085
data dir=, num_sub = 52125, num_col= 52135
data dir=, num_sub = 52225, num_col= 52235
data dir=, num_sub = 52376, num_col= 52386
data dir=, num_sub = 52406, num_col= 52436
data dir=, num_sub = 52456, num_col= 52496
data dir=, num_sub = 52586, num_col= 52596
data dir=, num_sub = 52737, num_col= 52747
data dir=, num_sub = 52767, num_col= 52797
data dir=, num_sub = 52817, num_col= 52857
data dir=, num_sub = 52947, num_col= 52957
data dir=, num_sub = 53098, num_col= 53108
data dir=, num_sub = 53128, num_col= 53158
data dir=, num_sub = 53178, num_col= 53308
data dir=, num_sub = 53328, num_col= 53449
data dir=, num_sub = 53469, num_col= 53479
data dir=, num_sub = 53529, num_col= 53539
data dir=, num_sub = 53679, num_col= 53689
data dir=, num_sub = 53820, num_col= 53830
data dir=, num_sub = 53880, num_col= 53890
data dir=, num_sub = 54030, num_col= 54040
data dir=, num_sub = 54151, num_col= 54161
